,User ID,Country,City,Street,Day,Sex,Product,Quantity
0,1,Canada,Toronto,Elm St,28,Female,Banana,8
1,2,Canada,Mexico City,Main St,10,Male,Banana,8
2,3,Mexico,Toronto,Elm St,12,Female,Lemon,6
3,4,USA,Toronto,Oak St,6,Female,Date,8
4,5,Canada,Toronto,Elm St,3,Male,Honeydew,5
5,6,USA,Toronto,Oak St,2,Female,Elderberry,2
6,7,Canada,Mexico City,Oak St,25,Male,Honeydew,4
7,8,USA,Mexico City,Oak St,29,Female,Kiwi,3
8,9,Canada,New York,Elm St,19,Male,Kiwi,6
9,10,USA,Mexico City,Elm St,20,Male,Fig,9
10,11,Canada,Mexico City,Main St,6,Female,Grape,5
11,12,Canada,New York,Elm St,7,Male,Lemon,4
12,13,Canada,Toronto,Oak St,19,Female,Cherry,5
13,14,Mexico,Mexico City,Main St,6,Male,Date,4
14,15,Canada,Mexico City,Main St,2,Male,Grape,9
15,16,USA,New York,Main St,5,Male,Date,9
16,17,Mexico,Mexico City,Elm St,25,Male,Honeydew,5
17,18,USA,Toronto,Oak St,21,Female,Honeydew,3
18,19,USA,New York,Elm St,26,Female,Apple,3
19,20,Canada,New York,Elm St,21,Female,Elderberry,9
20,21,Canada,Mexico City,Oak St,22,Male,Date,9
21,22,Canada,Mexico City,Main St,13,Male,Elderberry,1
22,23,Canada,Toronto,Main St,29,Male,Honeydew,5
23,24,USA,Toronto,Elm St,5,Male,Lemon,6
24,25,USA,New York,Main St,30,Male,Lemon,8
25,26,Mexico,New York,Oak St,18,Female,Date,4
26,27,Mexico,New York,Oak St,16,Male,Cherry,6
27,28,USA,Mexico City,Oak St,13,Female,Elderberry,4
28,29,USA,Mexico City,Elm St,12,Male,Grape,5
29,30,Canada,Toronto,Main St,4,Female,Apple,9
30,31,USA,Toronto,Oak St,24,Male,Cherry,5
31,32,Canada,Toronto,Elm St,11,Female,Cherry,9
32,33,USA,New York,Oak St,9,Female,Elderberry,1
33,34,Mexico,Toronto,Main St,22,Female,Fig,2
34,35,Canada,New York,Oak St,28,Female,Elderberry,5
35,36,Mexico,Toronto,Elm St,22,Male,Elderberry,7
36,37,USA,Toronto,Oak St,28,Male,Lemon,3
37,38,Mexico,New York,Oak St,29,Female,Fig,6
38,39,USA,Mexico City,Oak St,11,Female,Fig,6
39,40,Canada,Toronto,Main St,9,Male,Cherry,8
40,41,USA,New York,Oak St,22,Female,Fig,5
41,42,Mexico,Toronto,Elm St,25,Female,Date,2
42,43,Mexico,New York,Main St,16,Female,Elderberry,7
43,44,Mexico,Toronto,Main St,14,Male,Kiwi,1
44,45,Mexico,New York,Oak St,18,Male,Cherry,5
45,46,Mexico,New York,Main St,29,Male,Banana,1
46,47,Mexico,New York,Main St,22,Female,Date,4
47,48,Canada,Toronto,Oak St,5,Female,Date,3
48,49,USA,New York,Main St,7,Female,Apple,4
49,50,Mexico,Toronto,Oak St,30,Female,Elderberry,4
50,51,Canada,New York,Oak St,11,Female,Honeydew,1
51,52,USA,New York,Oak St,19,Female,Elderberry,5
52,53,Mexico,Toronto,Oak St,4,Male,Cherry,4
53,54,Mexico,New York,Elm St,21,Female,Banana,3
54,55,Canada,Toronto,Elm St,6,Male,Apple,5
55,56,USA,New York,Elm St,17,Female,Honeydew,1
56,57,Mexico,Toronto,Elm St,21,Female,Lemon,6
57,58,Canada,Mexico City,Main St,29,Male,Grape,6
58,59,Canada,Mexico City,Elm St,9,Female,Grape,6
59,60,USA,New York,Main St,23,Female,Fig,1
60,61,Canada,Mexico City,Elm St,13,Male,Kiwi,8
61,62,Mexico,New York,Oak St,19,Female,Kiwi,5
62,63,Canada,Mexico City,Oak St,25,Male,Cherry,8
63,64,Mexico,Mexico City,Oak St,22,Male,Grape,8
64,65,Mexico,Mexico City,Elm St,21,Male,Lemon,2
65,66,Mexico,New York,Main St,10,Female,Honeydew,4
66,67,Canada,Mexico City,Oak St,5,Female,Apple,3
67,68,USA,Toronto,Elm St,30,Female,Cherry,1
68,69,Canada,Mexico City,Elm St,19,Female,Date,2
69,70,Canada,Toronto,Oak St,15,Male,Honeydew,5
70,71,Mexico,Toronto,Elm St,20,Female,Honeydew,3
71,72,Mexico,Mexico City,Oak St,15,Female,Lemon,3
72,73,Mexico,Toronto,Oak St,24,Female,Date,7
73,74,Canada,New York,Main St,30,Male,Date,7
74,75,Mexico,Mexico City,Oak St,29,Male,Date,4
75,76,Mexico,New York,Elm St,17,Female,Grape,2
76,77,USA,Toronto,Main St,24,Male,Lemon,5
77,78,Mexico,Mexico City,Main St,26,Male,Lemon,7
78,79,Canada,New York,Main St,16,Male,Grape,5
79,80,USA,New York,Elm St,25,Female,Honeydew,7
80,81,Canada,Toronto,Oak St,2,Male,Apple,8
81,82,Mexico,New York,Elm St,18,Male,Apple,4
82,83,USA,Mexico City,Main St,21,Female,Apple,5
83,84,USA,Toronto,Main St,30,Female,Cherry,7
84,85,USA,Toronto,Oak St,11,Female,Honeydew,5
85,86,USA,New York,Oak St,20,Male,Grape,6
86,87,Mexico,Toronto,Oak St,28,Female,Elderberry,3
87,88,USA,New York,Elm St,17,Female,Cherry,8
88,89,USA,Mexico City,Elm St,6,Male,Grape,6
89,90,Mexico,Mexico City,Oak St,11,Female,Cherry,9
90,91,Canada,Mexico City,Oak St,13,Female,Apple,3
91,92,Mexico,New York,Oak St,27,Female,Fig,7
92,93,Canada,Mexico City,Oak St,26,Male,Fig,3
93,94,Canada,Mexico City,Elm St,15,Male,Elderberry,5
94,95,Canada,Toronto,Oak St,10,Female,Kiwi,1
95,96,USA,Mexico City,Elm St,14,Male,Fig,6
96,97,Canada,Mexico City,Main St,16,Male,Date,4
97,98,Canada,New York,Oak St,26,Female,Elderberry,5
98,99,Canada,New York,Main St,9,Female,Fig,4
99,100,Canada,New York,Main St,13,Male,Elderberry,5
100,101,USA,Toronto,Oak St,16,Male,Apple,4
101,102,USA,Toronto,Main St,10,Male,Lemon,1
102,103,Mexico,Toronto,Main St,20,Male,Apple,1
103,104,USA,Toronto,Elm St,8,Male,Date,3
104,105,USA,New York,Elm St,28,Male,Elderberry,2
105,106,USA,New York,Elm St,14,Male,Banana,4
106,107,Mexico,Mexico City,Oak St,24,Male,Grape,8
107,108,Mexico,Mexico City,Main St,18,Female,Apple,2
108,109,Mexico,Mexico City,Elm St,9,Male,Apple,3
109,110,USA,Mexico City,Main St,22,Female,Banana,2
110,111,Canada,Toronto,Oak St,24,Female,Grape,5
111,112,Mexico,New York,Oak St,2,Female,Cherry,3
112,113,Canada,New York,Oak St,27,Male,Lemon,4
113,114,Mexico,Toronto,Oak St,25,Male,Apple,5
114,115,Canada,Toronto,Main St,9,Male,Banana,1
115,116,Mexico,New York,Main St,18,Female,Banana,5
116,117,Canada,Toronto,Main St,8,Male,Date,9
117,118,USA,Toronto,Elm St,11,Female,Fig,9
118,119,Canada,New York,Elm St,6,Female,Elderberry,3
119,120,Canada,New York,Oak St,22,Female,Lemon,8
120,121,Mexico,New York,Oak St,7,Male,Elderberry,4
121,122,Canada,Toronto,Elm St,13,Male,Elderberry,9
122,123,Canada,New York,Main St,25,Female,Honeydew,4
123,124,USA,New York,Elm St,21,Female,Date,5
124,125,USA,New York,Oak St,2,Female,Date,9
125,126,Canada,Mexico City,Elm St,29,Female,Lemon,2
126,127,Canada,New York,Elm St,13,Male,Banana,2
127,128,USA,New York,Oak St,12,Female,Honeydew,7
128,129,USA,Toronto,Oak St,28,Male,Grape,1
129,130,Canada,New York,Elm St,27,Female,Fig,5
130,131,Mexico,New York,Elm St,1,Female,Kiwi,5
131,132,Mexico,New York,Elm St,14,Female,Grape,2
132,133,USA,Toronto,Main St,3,Male,Grape,2
133,134,Canada,Toronto,Oak St,10,Female,Honeydew,1
134,135,Mexico,Toronto,Main St,7,Male,Apple,8
135,136,Canada,New York,Elm St,22,Male,Cherry,2
136,137,Canada,Mexico City,Elm St,21,Male,Grape,2
137,138,USA,Mexico City,Oak St,1,Male,Date,3
138,139,Mexico,Toronto,Elm St,12,Female,Grape,1
139,140,Canada,New York,Main St,30,Male,Honeydew,7
140,141,Mexico,Toronto,Elm St,23,Male,Cherry,3
141,142,USA,Mexico City,Elm St,22,Female,Lemon,6
142,143,Mexico,Toronto,Oak St,29,Male,Grape,4
143,144,USA,Toronto,Oak St,29,Male,Kiwi,9
144,145,Mexico,New York,Elm St,11,Female,Elderberry,9
145,146,USA,Toronto,Main St,29,Female,Cherry,6
146,147,Canada,Mexico City,Oak St,18,Male,Fig,7
147,148,USA,Toronto,Oak St,25,Male,Apple,5
148,149,USA,Mexico City,Oak St,14,Male,Lemon,3
149,150,Canada,Mexico City,Main St,16,Female,Honeydew,7
150,151,Canada,Mexico City,Main St,17,Female,Grape,9
151,152,Canada,Mexico City,Main St,17,Female,Kiwi,7
152,153,USA,Toronto,Oak St,2,Female,Grape,4
153,154,USA,Toronto,Elm St,29,Male,Banana,3
154,155,USA,Mexico City,Main St,7,Female,Date,5
155,156,Canada,New York,Oak St,8,Female,Honeydew,5
156,157,Canada,Toronto,Elm St,9,Male,Banana,5
157,158,USA,Toronto,Main St,8,Female,Kiwi,1
158,159,Mexico,New York,Oak St,18,Female,Banana,8
159,160,USA,Mexico City,Main St,3,Female,Elderberry,1
160,161,USA,Toronto,Oak St,9,Female,Apple,4
161,162,Canada,Mexico City,Elm St,23,Male,Banana,2
